name,age,position,height,value,national_matches,national_goals,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22,goal_percentage20,goal_percentage21,goal_percentage22,assists_percentage20,assists_percentage21,assists_percentage22,goalkeeper,deff,middle,attack
moises-caicedo,21,Defensive Midfield,1.78,55000.0,30,3,3,0,0,1,0,0,26,3,3,6,0,0,43,1,1,12,0,0,0.0,0.11538461538461539,0.023255813953488372,0.0,0.11538461538461539,0.023255813953488372,0,0,1,0
julian-alvarez,23,Centre-Forward,1.7,50000.0,20,7,46,24,15,1,0,0,26,18,6,1,0,0,49,17,5,1,0,0,0.5217391304347826,0.6923076923076923,0.3469387755102041,0.32608695652173914,0.23076923076923078,0.10204081632653061,0,0,0,1
gabriel-magalhaes,25,Centre-Back,1.9,50000.0,0,0,32,3,1,4,1,0,39,5,0,7,1,0,48,3,0,6,0,0,0.09375,0.1282051282051282,0.0625,0.03125,0.0,0.0,0,1,0,0
casemiro,31,Defensive Midfield,1.85,50000.0,70,7,46,7,6,14,1,0,48,1,4,16,0,0,53,7,7,13,0,2,0.15217391304347827,0.020833333333333332,0.1320754716981132,0.13043478260869565,0.08333333333333333,0.1320754716981132,0,0,1,0
ben-white,25,Right-Back,1.86,50000.0,4,0,39,0,0,3,1,0,37,0,0,3,0,0,46,2,5,5,0,0,0.0,0.0,0.043478260869565216,0.0,0.0,0.10869565217391304,0,1,0,0
alexander-isak,23,Centre-Forward,1.92,50000.0,39,9,44,17,2,4,0,0,41,10,3,7,0,0,29,11,2,3,0,0,0.38636363636363635,0.24390243902439024,0.3793103448275862,0.045454545454545456,0.07317073170731707,0.06896551724137931,0,0,0,1
lisandro-martinez,25,Centre-Back,1.75,50000.0,16,0,42,3,1,6,0,0,37,1,4,6,0,0,45,1,0,10,0,0,0.07142857142857142,0.02702702702702703,0.022222222222222223,0.023809523809523808,0.10810810810810811,0.0,0,1,0,0
ivan-toney,27,Centre-Forward,1.85,50000.0,1,0,52,33,10,9,1,0,37,14,6,8,0,0,35,21,5,9,0,0,0.6346153846153846,0.3783783783783784,0.6,0.19230769230769232,0.16216216216216217,0.14285714285714285,0,0,0,1
joao-felix,23,Second Striker,1.81,50000.0,30,5,40,10,6,6,0,0,35,10,6,4,1,0,40,9,3,6,0,1,0.25,0.2857142857142857,0.225,0.15,0.17142857142857143,0.075,0,0,0,1
fabinho,29,Defensive Midfield,1.88,45000.0,29,0,42,0,1,7,0,0,48,8,1,9,0,0,49,0,2,13,0,0,0.0,0.16666666666666666,0.0,0.023809523809523808,0.020833333333333332,0.04081632653061224,0,0,1,0
andrew-robertson,29,Left-Back,1.78,48000.0,60,3,50,1,7,3,0,0,47,3,15,7,0,1,43,0,11,4,0,0,0.02,0.06382978723404255,0.0,0.14,0.3191489361702128,0.2558139534883721,0,1,0,0
pierre-emile-hojbjerg,27,Central Midfield,1.85,45000.0,65,5,53,2,5,12,0,0,48,3,4,3,0,0,44,5,7,8,0,0,0.03773584905660377,0.0625,0.11363636363636363,0.09433962264150944,0.08333333333333333,0.1590909090909091,0,0,1,0
alisson,30,Goalkeeper,1.93,45000.0,61,0,42,1,1,0,0,0,54,0,0,0,0,0,47,0,1,0,0,0,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.02127659574468085,1,0,0,0
ederson,29,Goalkeeper,1.88,45000.0,19,0,48,0,3,0,0,0,49,0,4,0,0,0,47,0,4,0,0,0,0.0,0.0,0.0,0.0625,0.08163265306122448,0.0851063829787234,1,0,0,0
bukayo-saka,21,Right Winger,1.78,110000.0,26,8,46,7,10,2,0,0,43,12,7,6,0,0,48,15,11,7,0,0,0.15217391304347827,0.27906976744186046,0.3125,0.21739130434782608,0.16279069767441862,0.22916666666666666,0,0,0,1
mohamed-salah,30,Right Winger,1.75,70000.0,87,49,51,31,6,0,0,0,51,31,16,1,0,0,51,30,16,2,0,0,0.6078431372549019,0.6078431372549019,0.5882352941176471,0.11764705882352941,0.3137254901960784,0.3137254901960784,0,0,0,1
martin-odegaard,24,Attacking Midfield,1.78,80000.0,49,2,29,2,2,0,0,0,40,7,5,4,0,0,45,15,8,5,0,0,0.06896551724137931,0.175,0.3333333333333333,0.06896551724137931,0.125,0.17777777777777778,0,0,1,0
virgil-van-dijk,31,Centre-Back,1.93,45000.0,56,6,8,1,0,1,0,0,51,3,5,4,0,0,41,3,1,4,0,0,0.125,0.058823529411764705,0.07317073170731707,0.0,0.09803921568627451,0.024390243902439025,0,1,0,0
lucas-paqueta,25,Attacking Midfield,1.8,45000.0,40,8,34,10,6,6,1,0,44,11,7,4,0,0,43,5,7,8,0,0,0.29411764705882354,0.25,0.11627906976744186,0.17647058823529413,0.1590909090909091,0.16279069767441862,0,0,1,0
sven-botman,23,Centre-Back,1.95,45000.0,0,0,47,0,1,5,0,0,32,3,1,5,0,0,44,0,0,4,0,0,0.0,0.09375,0.0,0.02127659574468085,0.03125,0.0,0,1,0,0
matheus-nunes,24,Central Midfield,1.83,45000.0,11,1,39,3,3,6,0,0,50,4,5,9,0,0,41,2,2,4,0,1,0.07692307692307693,0.08,0.04878048780487805,0.07692307692307693,0.1,0.04878048780487805,0,0,1,0
alexis-mac-allister,24,Central Midfield,1.74,42000.0,16,1,27,3,2,1,0,0,36,5,4,4,0,0,40,12,3,8,0,0,0.1111111111111111,0.1388888888888889,0.3,0.07407407407407407,0.1111111111111111,0.075,0,0,1,0
amadou-onana,21,Defensive Midfield,1.95,42000.0,6,0,26,3,0,7,1,0,42,3,1,2,0,1,35,1,2,10,0,0,0.11538461538461539,0.07142857142857142,0.02857142857142857,0.0,0.023809523809523808,0.05714285714285714,0,0,1,0
anthony-gordon,22,Left Winger,1.82,40000.0,9,4,19,0,5,1,0,0,40,4,3,6,0,0,34,4,0,8,0,0,0.0,0.1,0.11764705882352941,0.2631578947368421,0.075,0.0,0,0,0,1
rodrigo-bentancur,25,Central Midfield,1.87,40000.0,54,1,45,0,4,10,1,0,44,0,7,7,0,0,26,6,2,11,0,0,0.0,0.0,0.23076923076923078,0.08888888888888889,0.1590909090909091,0.07692307692307693,0,0,1,0
marc-cucurella,24,Left-Back,1.73,40000.0,1,0,39,3,2,9,0,0,39,1,2,6,0,0,33,0,2,6,0,0,0.07692307692307693,0.02564102564102564,0.0,0.05128205128205128,0.05128205128205128,0.06060606060606061,0,1,0,0
raphael-varane,30,Centre-Back,1.91,40000.0,93,5,41,2,0,4,0,0,29,1,1,1,0,0,34,0,0,2,0,0,0.04878048780487805,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0,1,0,0
ruben-neves,26,Defensive Midfield,1.8,40000.0,39,0,40,5,2,7,0,0,36,4,2,11,0,0,41,6,1,13,0,0,0.125,0.1111111111111111,0.14634146341463414,0.05,0.05555555555555555,0.024390243902439025,0,0,1,0
benoit-badiashile,22,Centre-Back,1.94,40000.0,2,0,39,2,1,5,0,0,34,1,1,6,0,0,27,3,0,7,0,0,0.05128205128205128,0.029411764705882353,0.1111111111111111,0.02564102564102564,0.029411764705882353,0.0,0,1,0,0
oleksandr-zinchenko,26,Left-Back,1.75,40000.0,53,8,32,0,2,1,0,0,28,0,5,2,0,0,33,1,2,5,0,0,0.0,0.0,0.030303030303030304,0.0625,0.17857142857142858,0.06060606060606061,0,1,0,0
james-ward-prowse,28,Central Midfield,1.77,38000.0,11,2,44,9,7,5,0,0,42,11,8,3,0,1,45,11,5,7,0,0,0.20454545454545456,0.2619047619047619,0.24444444444444444,0.1590909090909091,0.19047619047619047,0.1111111111111111,0,0,1,0
mateo-kovacic,29,Central Midfield,1.77,40000.0,93,5,42,0,2,7,0,0,44,2,6,6,0,0,37,2,2,10,0,0,0.0,0.045454545454545456,0.05405405405405406,0.047619047619047616,0.13636363636363635,0.05405405405405406,0,0,1,0
jarrod-bowen,26,Right Winger,1.82,38000.0,4,0,40,8,6,0,0,0,51,18,13,8,0,0,54,13,9,3,0,0,0.2,0.35294117647058826,0.24074074074074073,0.15,0.2549019607843137,0.16666666666666666,0,0,0,1
emile-smith-rowe,22,Attacking Midfield,1.82,38000.0,7,2,37,7,7,1,0,0,37,11,2,1,0,0,15,0,2,0,0,0,0.1891891891891892,0.2972972972972973,0.0,0.1891891891891892,0.05405405405405406,0.13333333333333333,0,0,1,0
thomas-partey,29,Defensive Midfield,1.85,38000.0,43,13,36,0,3,8,0,0,26,2,1,7,1,0,40,3,0,6,0,0,0.0,0.07692307692307693,0.075,0.08333333333333333,0.038461538461538464,0.0,0,0,1,0
